Envi,Formula,rho,p,Group
WSOCbb,C12H12O5S,-0.045,0.8239,Ulaanbaatar
WSOCbb,C12H12O5S2,0.366,0.0607,Ulaanbaatar
WSOCbb,C12H12O6,0.103,0.6101,Ulaanbaatar
WSOCbb,C12H12O6S,0.299,0.1295,Ulaanbaatar
WSOCbb,C12H12O7,0.299,0.1295,Ulaanbaatar
WSOCbb,C12H12O7S,0.345,0.0777,Ulaanbaatar
WSOCbb,C12H12O8,0.345,0.0777,Ulaanbaatar
WSOCbb,C12H12O8S,0.711,0,Ulaanbaatar
WSOCbb,C12H13N3O6,0.711,0,Ulaanbaatar
WSOCbb,C12H13NO,-0.749,0,Ulaanbaatar
WSOCbb,C12H13NO10S,-0.749,0,Ulaanbaatar
WSOCbb,C12H13NO2,-0.53,0.0045,Ulaanbaatar
WSOCbb,C12H13NO3,-0.007,0.9735,Ulaanbaatar
WSOCbb,C12H13NO4,0.114,0.5713,Ulaanbaatar
WSOCbb,C12H13NO4S,-0.107,0.5942,Ulaanbaatar
WSOCbb,C12H13NO5,-0.123,0.542,Ulaanbaatar
WSOCbb,C12H13NO5S,0.519,0.0055,Ulaanbaatar
WSOCbb,C12H13NO6,-0.19,0.3433,Ulaanbaatar
WSOCbb,C12H13NO6S,0.396,0.0411,Ulaanbaatar
WSOCbb,C12H13NO7,0.396,0.0411,Ulaanbaatar
WSOCbb,C12H13NO7S,0.396,0.0411,Ulaanbaatar
